name,location,category,description,url,city,country
Cypress Swamp Driftwood Family Museum,"Pierre Part, Louisiana",Weird & Unusual,This Louisiana folk art gallery is a gnarled collection of driftwood homonculi.,https://www.atlasobscura.com/places/cypress-swamp-driftwood-family-museum,Pierre Part,Louisiana
'Uandákua Tsïuaxati/Brota la Lengua' ('The Language Springs'),"Morelia, Mexico",Hidden Gems,One of Mexico's few murals dedicated to an indigenous language.,https://www.atlasobscura.com/places/uandakua-tsiuaxati-brota-la-lengua-the-language-springs,Morelia,Mexico
Antonio Pigafetta Memorial and Birthplace,"Vicenza, Italy",Hidden Gems,A memorial to the Vicentine who survived and documented Magellan's circumnavigation of the world.,https://www.atlasobscura.com/places/antonio-pigafetta-memorial-and-birthplace,Vicenza,Italy
Waldemar Julsrud Museum,"Acámbaro, Mexico",Mysterious,"This small museum holds a treasure trove of ceramic figures that are either a hoax or proof of dragons, aliens, and dinosaur riders.",https://www.atlasobscura.com/places/waldemar-julsrud-museum,Acámbaro,Mexico
Clinton Home,"Nago-shi, Japan",Weird & Unusual,An exact replica of Bill Clinton's childhood home stands within a resort in Japan.,https://www.atlasobscura.com/places/clinton-home,Nago-shi,Japan
Monument als Raiers (Monument to the Raftsmen),"Hortoneda, Spain",Hidden Gems,"These long, lean figures pay tribute to the daring feats of the historical raftsmen of Catalonia.",https://www.atlasobscura.com/places/monument-als-raiers,Hortoneda,Spain
Vanocni dum,"Karlovy Vary, Czechia",Weird & Unusual,A mansion where wonders of Christmas are celebrated all year long.,https://www.atlasobscura.com/places/christmas-house,Karlovy Vary,Czechia
Zesco Cooling Tower,"Lusaka, Zambia",Hidden Gems,The abandoned tower is the last remnant of Lusaka's first major power plant.,https://www.atlasobscura.com/places/zesco-cooling-tower,Lusaka,Zambia
Hulk of the SS Good News,"Mpulungu, Zambia",Hidden Gems,The forgotten remains of the first steamship that launched on Lake Tanganyika.,https://www.atlasobscura.com/places/hulk-of-the-ss-good-news,Mpulungu,Zambia
Gaspar Dias Fort Cannon,"Panaji, India",Mysterious,This cannon was part of a 16th-century fort near Miramar Beach in Panaji.,https://www.atlasobscura.com/places/gaspar-dias-fort-cannon,Panaji,India
Cappella Suardi,"Trescore Balneario, Italy",Hidden Gems,Jesus turns into vines inside this chapel.,https://www.atlasobscura.com/places/cappella-suardi,Trescore Balneario,Italy
Faceless Nuns of the Torba Monastery,"Torba, Italy",Mysterious,An unsettling painting of three faceless sisters that is surrounded by history and legend.,https://www.atlasobscura.com/places/faceless-nuns-of-the-torba-monastery,Torba,Italy
Gateway to the Old King's Yards,"Freetown, Sierra Leone",Mysterious,Tens of thousands of Africans rescued from slave ships passed through this gate before being settled in Sierra Leone.,https://www.atlasobscura.com/places/gateway-to-the-old-kings-yards,Freetown,Sierra Leone
Carnfunnock Ice House,"Ballygalley, Northern Ireland",Hidden Gems,This former ice house dates to the early 19th-century and featured an underground chamber.,https://www.atlasobscura.com/places/carnfunnock-ice-house,Ballygalley,Northern Ireland
Bomb Bell Memorial,"Wiernsheim, Germany",Hidden Gems,This bomb was once used as a church after it failed to detonate.,https://www.atlasobscura.com/places/bomb-bell-memorial,Wiernsheim,Germany
Armschwinger,"Wurmberg, Germany",Weird & Unusual,This unusual small wind turbine in Germany has only a single rotor blade.,https://www.atlasobscura.com/places/armschwinger,Wurmberg,Germany
Australian In-Situ Wild Rice Conservation Project,"Mount Bundey, Australia",Hidden Gems,A Japanese sculptor carved an ode to biodiversity into a floodplain.,https://www.atlasobscura.com/places/australian-in-situ-wild-rice-conservation-project,Mount Bundey,Australia
Bourbon Coat of Arms,"Moulins, France",Weird & Unusual,The dynasty’s coat of arms reveals its historical ties to the French town of Moulins and the Spanish crown.,https://www.atlasobscura.com/places/arms-of-the-bourbons-bas-relief,Moulins,France
Wilson's Stone Igloo,Antarctica,Mysterious,"A remains of a stone shelter are a reminder of ""The Worst Journey in the World.""",https://www.atlasobscura.com/places/wilsons-stone-igloo,Unknown,Antarctica
"""El Huracán de la Sierra"" (Hurricane of the Sierra)","Tilaco, Mexico",Hidden Gems,"This truck is celebrated as part of the ""miracle"" that connected this town to the rest of Mexico.",https://www.atlasobscura.com/places/el-huracan-de-la-sierra-hurricane-of-the-sierra,Tilaco,Mexico
